A,B,C,D,E,F
10,62.51,17,23,-42.4807,-54.3727
32,194.07,36,80.51,23.1822,6.21165
22,134.01,38,86.05,34.7948,38.6435
2,14.25,20,32.23,-64.9051,-56.421
31,188.2,28,55.99,56.5731,33.9925
17,104.05,2,-21.89,27.7128,16
34,206.01,15,17.47,39.1435,58.0326
12,74.22,28,56.07,-33.234,-33.234
4,26.12,0,-27.47,46.5001,80.5403
32,194.53,38,85.97,-48.0997,-9.34963
28,170.45,37,83,-2.63023,-5.39276
8,50.05,5,-12.67,36.5677,34.0999
19,116.4,33,71.04,-46.057,-83.0888
20,122.06,13,10.97,-76.4019,-32.4307
27,164.26,14,14.54,-66.9958,-41.8636
6,38.19,5,-13,4.53154,2.11309
12,74.02,20,32.26,-63.7208,-20.7041
17,104.5,6,-9.53,-4.23936,-6.78438
8,50.09,5,-12.62,62.1598,19.0041
11,68.41,24,44.15,20.398,8.24134
35,212.05,39,89.18,30.4304,5.91507
13,80.52,2,-21.5,-3.06418,-2.57115
36,218.03,0,-27.69,25.4362,40.7063
38,230.54,37,83.12,-8.7462,-4.84809
17,103.99,19,29.1,-66.9131,-74.3144
31,188.04,21,35.27,-20.6016,-34.2867
7,44.5,31,65.38,28.9827,26.0961
28,170.24,25,47.46,7.88412,20.5388
34,206.49,11,5.2,-64.4552,-34.2714
18,110.33,27,53.46,11.5768,40.373
2,14.5,7,-6.88,13.9078,5.61909
31,188.19,13,11.39,13.3651,6.80985
21,128.41,39,89.24,-14.2658,-4.63525
21,128.56,17,23.41,-22.3013,-40.2325
29,176.29,25,47.34,22.5583,69.4271
36,218.04,20,32.52,69.54,43.4534
23,140.5,10,2.45,5.20202,4.68391
20,122.26,21,35.08,58.2874,35.0226
37,224.18,17,23.31,38.8739,41.6871
3,20.03,16,20.05,13.5946,6.33927
27,164.41,37,83.16,26.598,28.5228
6,38.31,17,23.05,41.0822,8.73228
6,38.31,38,86.44,-4.55797,-13.2373
6,38.32,19,29.4,-74.7163,-64.9498
7,44.01,34,74.21,-62.2556,-43.5918
